plant name,Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Tamarindus indica,Vitamin B3,OC(=O)c1cccnc1,C6H5NO2,123.11,9,6,0,1,3,1,31.2,50.19,0.86,0.36,0.78,-1.13,0.75,0.32,-1.26,6.81E+00,5.53E-02,Very soluble,-0.98,1.29E+01,1.05E-01,Very soluble,-1.35,5.46E+00,4.44E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.8,0,3,0,0,1,0.85,0,0,1,1
Tamarindus indica,Epicatechin,Oc1cc2O[C@H](c3ccc(c(c3)O)O)[C@@H](Cc2c(c1)O)O,C15H14O6,290.27,21,12,0.2,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.98,0.85,-2.22,1.74E+00,5.98E-03,Soluble,-2.24,1.66E+00,5.72E-03,Soluble,-2.14,2.09E+00,7.19E-03,Soluble,High,No,Yes,No,No,No,No,No,-7.82,0,0,0,0,0,0.55,1,1,0,3.5
Tamarindus indica,Isoorientin,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)cc2c(c1O)c(=O)cc(o2)c1ccc(c(c1)O)O,C21H20O11,448.38,32,16,0.29,3,11,8,108.63,201.28,1.6,-0.15,-0.53,-2.51,-0.14,-0.34,-2.7,9.00E-01,2.01E-03,Soluble,-3.62,1.07E-01,2.39E-04,Soluble,-1.79,7.32E+00,1.63E-02,Soluble,Low,No,No,No,No,No,No,No,-9.14,2,1,1,1,3,0.17,1,1,1,5.04
Tamarindus indica,Isovitexin,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)cc2c(c1O)c(=O)cc(o2)c1ccc(cc1)O,C21H20O10,432.38,31,16,0.29,3,10,7,106.61,181.05,1.97,0.21,-0.23,-2.02,0.33,0.05,-2.84,6.29E-01,1.46E-03,Soluble,-3.57,1.16E-01,2.68E-04,Soluble,-2.38,1.81E+00,4.20E-03,Soluble,Low,No,No,No,No,No,No,No,-8.79,1,0,1,1,2,0.55,0,0,1,4.99
Tamarindus indica,Orientin,OC[C@@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)cc(c2c1oc(cc2=O)c1ccc(c(c1)O)O)O,C21H20O11,448.38,32,16,0.29,3,11,8,108.63,201.28,1.09,-0.15,-0.53,-2.51,-0.14,-0.45,-2.7,9.00E-01,2.01E-03,Soluble,-3.62,1.07E-01,2.39E-04,Soluble,-1.79,7.32E+00,1.63E-02,Soluble,Low,No,No,No,No,No,No,No,-9.14,2,1,1,1,3,0.17,1,1,1,5.17
Tamarindus indica,Vitexin,OC[C@@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)cc(c2c1oc(cc2=O)c1ccc(cc1)O)O,C21H20O10,432.38,31,16,0.29,3,10,7,106.61,181.05,-0.09,0.21,-0.23,-2.02,0.33,-0.36,-2.84,6.29E-01,1.46E-03,Soluble,-3.57,1.16E-01,2.68E-04,Soluble,-2.38,1.81E+00,4.20E-03,Soluble,Low,No,No,No,No,No,No,No,-8.79,1,0,1,1,2,0.55,0,0,1,5.12
Tamarindus indica,Tartaric acid,O[C@H]([C@H](C(=O)O)O)C(=O)O,C4H6O6,150.09,10,0,0.5,3,6,4,27.21,115.06,-0.29,-1.88,-2.12,-2.18,-1.88,-1.67,0.61,6.14E+02,4.09E+00,Highly soluble,-0.02,1.44E+02,9.63E-01,Very soluble,2.44,4.17E+04,2.78E+02,Soluble,Low,No,No,No,No,No,No,No,-8.55,0,4,0,0,2,0.56,0,0,1,2.57
Tamarindus indica,Cyanidin-3-O-glucoside,OC[C@H]1O[C@@H](Oc2cc3c(O)cc(cc3[o+]c2c2ccc(c(c2)O)O)O)[C@@H]([C@H]([C@@H]1O)O)O,C21H21O11,449.38,32,16,0.29,4,11,8,108.29,193.44,-2.48,0.14,0.38,-1.76,-1.91,-1.13,-2.82,6.80E-01,1.51E-03,Soluble,-3.76,7.83E-02,1.74E-04,Soluble,-0.93,5.23E+01,1.16E-01,Soluble,Low,No,No,No,No,No,No,No,-8.94,2,0,1,1,3,0.17,1,2,1,5.27
Tamarindus indica,Benzeneacetaldehyde,O=CCc1ccccc1,C8H8O,120.15,9,6,0.12,2,1,0,36.42,17.07,1.33,1.78,1.43,1.78,2.34,1.73,-2.07,1.03E+00,8.56E-03,Soluble,-1.76,2.10E+00,1.75E-02,Very soluble,-2.7,2.39E-01,1.99E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.77,0,3,0,0,2,0.55,0,1,1,1
Tamarindus indica,Dibutyl malate,CCCCOC(=O)C[C@@H](C(=O)OCCCC)O,C12H22O5,246.3,17,0,0.83,11,5,1,63.53,72.83,2.78,1.82,1.42,1.3,2.14,1.89,-1.79,4.02E+00,1.63E-02,Very soluble,-2.97,2.64E-01,1.07E-03,Soluble,-2.35,1.11E+00,4.51E-03,Soluble,High,No,No,No,No,No,No,No,-6.51,0,0,1,0,0,0.55,0,1,2,3.24
Piper longum,(+)-Sesamin,C1Oc2c(O1)cc(cc2)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1ccc2c(c1)OCO2,C20H18O6,354.35,26,12,0.4,2,6,0,90,55.38,3.46,2.68,2.57,1.98,3.25,2.79,-3.93,4.12E-02,1.16E-04,Soluble,-3.5,1.13E-01,3.20E-04,Soluble,-4.6,8.98E-03,2.54E-05,Moderately soluble,High,Yes,No,No,Yes,No,Yes,Yes,-6.56,0,0,0,0,0,0.55,0,0,1,4.12
Piper longum,Cadaverine,NCCCCCN,C5H14N2,102.18,7,0,1,4,2,2,31.56,52.04,1.39,-0.58,0.07,0.23,-0.11,0.2,0.16,1.46E+02,1.43E+00,Highly soluble,-0.04,9.27E+01,9.07E-01,Very soluble,-1.11,7.93E+00,7.76E-02,Soluble,High,No,No,No,No,No,No,No,-7.34,0,2,0,0,1,0.55,0,0,1,1
Piper longum,Piperine,O=C(N1CCCCC1)/C=C/C=C/c1ccc2c(c1)OCO2,C17H19NO3,285.34,21,6,0.35,4,3,0,85.48,38.77,3.38,3.46,2.51,2.39,3.41,3.03,-3.74,5.24E-02,1.84E-04,Soluble,-3.96,3.16E-02,1.11E-04,Soluble,-3,2.87E-01,1.00E-03,Soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.58,0,0,0,0,0,0.55,0,2,0,2.92
Piper longum,Piperlongumine,COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(c1OC)OC,C17H19NO5,317.34,23,6,0.29,6,5,0,89.47,65.07,2.46,2.07,1.55,0.93,2.36,1.88,-2.91,3.92E-01,1.23E-03,Soluble,-3.07,2.73E-01,8.60E-04,Soluble,-2.94,3.60E-01,1.14E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.77,0,0,0,0,0,0.55,0,1,0,3.18
Piper longum,2-Phenylethyl alcohol,OCCc1ccccc1,C8H10O,122.16,9,6,0.25,2,1,1,37.38,20.23,1.7,1.36,1.22,1.87,2.03,1.64,-1.82,1.87E+00,1.53E-02,Very soluble,-1.39,5.01E+00,4.10E-02,Very soluble,-2.58,3.18E-01,2.60E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.08,0,3,0,0,2,0.55,0,0,1,1
